Scale	Framework	Runs	Avg_Registration_Time_s	Grand_Avg_RTT_s	Avg_Timeouts
1	JADE	10	0.0051	0.0069	0.0/1.0
1	TAMAF_PYTHON	10	0.0235	0.0026	0.0/1.0
1	TAMAF_JAVA	10	0.0193	0.0067	0.0/1.0
5	JADE	10	0.0066	0.0065	0.0/5.0
5	TAMAF_PYTHON	10	0.1603	0.0097	0.0/5.0
5	TAMAF_JAVA	10	0.0826	0.0082	0.0/5.0
10	JADE	10	0.0083	0.0069	0.0/10.0
10	TAMAF_PYTHON	10	0.5179	0.0175	0.0/10.0
10	TAMAF_JAVA	10	0.1557	0.0112	0.0/10.0
15	JADE	10	0.0137	0.0084	0.0/15.0
15	TAMAF_PYTHON	10	0.9785	0.0243	0.0/15.0
15	TAMAF_JAVA	10	0.2341	0.0124	0.0/15.0
20	JADE	10	0.0136	0.0109	0.0/20.0
20	TAMAF_PYTHON	10	1.4141	0.0320	0.0/20.0
20	TAMAF_JAVA	10	0.3130	0.0149	0.0/20.0
30	JADE	10	0.0218	0.0107	0.0/30.0
30	TAMAF_PYTHON	10	2.5594	0.0439	0.0/30.0
30	TAMAF_JAVA	10	0.4672	0.0175	0.0/30.0
40	JADE	10	0.0248	0.0109	0.0/40.0
40	TAMAF_PYTHON	10	3.8771	0.0614	0.0/40.0
40	TAMAF_JAVA	10	0.6231	0.0208	0.0/40.0
50	JADE	10	0.0282	0.0114	0.0/50.0
50	TAMAF_PYTHON	10	5.2001	0.0752	0.0/50.0
50	TAMAF_JAVA	10	0.7776	0.0259	0.0/50.0
75	JADE	10	0.0366	0.0151	0.0/75.0
75	TAMAF_PYTHON	10	9.8028	0.1059	0.0/75.0
75	TAMAF_JAVA	10	1.1683	0.0332	0.0/75.0
100	JADE	10	0.0473	0.0213	0.0/100.0
100	TAMAF_PYTHON	10	20.3915	0.1477	0.0/100.0
100	TAMAF_JAVA	10	1.5517	0.0417	0.0/100.0
200	JADE	10	0.0975	0.0295	0.0/200.0
200	TAMAF_PYTHON	10	58.0868	0.4361	0.0/200.0
200	TAMAF_JAVA	10	3.1021	0.0787	0.0/200.0
